no,text
1,PBB ungkap bahwa toko roti di Gaza Utara terancam tutup akibat kelangkaan bahan pokok
2,"Menteri Ketenagakerjaan akan adakan Job Fair tiap minggu untuk atasi 7,5 Juta pengangguran"
3,DPR tetapkan program pengampunan pajak jadi prioritas di perencanaan undang-undang
4,Prabowo harap India kirim profesor & dokter untuk ajar pendidikan kesehatan di Indonesia
5,Indonesia kalahkan Arab Saudi 2-0 di kualifikasi Piala Dunia 2026
6,Baleg DPR tolak usulan RUU larang perdagangan daging anjing dan kucing
7,Donald Trump akan kerahkan militer untuk deportasi massal imigran ilegal di AS
8,Menteri Sosial pastikan ibu hamil dapat Bansos sebesar Rp750 ribu per bulan melalui program PKH
9,Manajer Jake Paul respon balik tantangan duel tinju dari Ishowspeed dengan nilai 20 juta USD
10,Jorge Martin raih gelar perdananya sebagai juara dunia MotoGP 2024
11,"Status Jakarta saat Ini Masih Tetap Ibu Kota RI, Ternyata Ini Alasannya"
12,"Orang Luar Makan Salad, Orang Indonesia Tetap Milih Sebat"
13,"Buka Suara Soal Kasus Mary Jane, Menko Yusril: Dipindahkan ke Filipina, Bukan Dibebaskan"
14,Timnas Indonesia Cetak Sejarah Baru Usai Kalahkan Saudi Arabia dengan Skor 2-0
15,Update Kasus P Diddy: dituduh Berusaha Halangi Proses Hukum dari Balik Penjara!
16,RS Harapan Kita jadi Yang Pertama di RI Lakukan Operasi Jantung Robotik
17,"Ibu Aaliyah Massaid, Reza Artamevia, Kena Kasus Penipuan Berlian Senilai Rp150M!"
18,Prabowo targetkan harga tiket pesawat sudah turun sebelum natal dan tahun baru
19,Menteri Pendidikan bakal renov 22 ribu sekolah yang tidak terurus selama ini
20,"Tom Lembong resmi jadi tersangka kasus korupsi impor gula, negara rugi 400 M"
21,Ada 20ribu milenial ikut daftar menjadi Petani dengan gaji Rp10 juta perbulan
22,"Progam Mensos, ibu hamil & lansia dpt Rp750rb dan Rp600rb /3 bulan"
23,Anggota DPR usul siswa wajib untuk membaca 15-30 menit sblm belajar
24,BMKG memprediksi cuaca di Indonesia bakal makin panas di tahun 2025 nanti
25,Museum Nasional Indonesia ini resmi Kembali dibuka tgl 15 Oktober 2024
26,Saat Jokowi Sebut Lebih dari 80 Paslon Minta Dukungannya di Pilkada 2024 + Paripurna DPR Sahkan RUU DKJ Jadi Undang-Undang
27,"Ahmad Riza Patria Jadi Cawagud Ridwan Kamil? PKS Cabut, Anies Baswedan Tunggu Kejutan Pilgub Jakarta"
28,"Paskibraka Asal Sumbar Sempat Ditunjuk Bawa Baki, Diganti di Detik Terakhir dengan yang Tanpa Jilbab"
29,"Jaksa Agung Akui Ada Pegawai Kejaksaan yang Main Judi Online: Iseng-Iseng Sajal Jokowi Disebut Titip Menteri ke Prabowo, Gibran dan Budi Arie Kompak Membantah"
30,Susi Pudjiastuti Tolak Gabung Kabinet Menteri Prabowo-Gibran
31,"Streamer Crypto Kehilangan Rp1,5 Miliar usai Seed Pharse Bocor"
32,BPIP: Lepas Jilbab Paskibraka Demi Keseragaman
33,"Hasil Survei SRMC Pertama dan Kedua, Sumarling-Timber teratas di Pilkada Kolut 2024"
34,"Presiden Prabowo resmi hapus utang petani, nelayan & UMKM lainnya"
35,Istri di NTT bakar suami pas lg tidur karena kecanduan main judi online
36,Kementan Gandeng Raffi Ahmad untuk dorong Regenerasi Petani ke Milenial
37,Nasaruddin Umar Siap Bersih-bersih di Kementrian Agama
38,"Bantah Kabar Kenaikan Gaji Guru Rp 2 Juta, Wamen Pendidikan: Kenaikan akan berdasarkan sertifikasi"
39,PPATK Blokir Belasan Rekening Ivan Sugianto
40,Petinggi Take-Two ungkap AI tak bantu pembuatan game lebih cepat
41,"Lagi dikembangkan, WI-FI 8 tak bakal bawa peningkatan kecepatan internet"
42,OpenAI sebut memakai software anti-scrapping adalah penyalahgunaan
43,Waspada malware bersembunyi di file ZIP untuk hindari deteksi anti-virus!
44,Vietnam ikutan blokir Temu jika tidak patuhi aturan
45,Karyawan NetEase ditangkap atas dugaan kasus pencucian uang
46,Sebuah studi sebut 53% gamer lebih suka game single-player disbanding game live service
47,Google mau kembangkan pencarian berbasis suara secara real-time
48,Denuvo kecewa terhadap gamer yang benci dengan program anti-piracy
49,Harga saham Ubisoft terus anjlok sejak kacaunya rilis game Star Wars Outlaws
50,Presiden Prabowo meminta pelajaran Matematika untuk dikenalin dari TK
51,Pemerintah rogoh Rp800 Miliar per hari buat program makan bergizi gratis
52,"Utang warga RI di Paylater mencapai Rp26,37 Triliun per bulan Agustus 2024"
53,Menteri Singapura diadili karena terima gratifikasi jet pribadi sampai tiket bola
54,"Finalis Miss Swiss dibun*h suaminya sendiri, dimutil*si, hingga diblend*r"
55,Satu hari di bumi bakal jadi 25 jam karena rotasi bumi melambat
56,Pria asal India ini ramal kiamat terjadi pada 10 Agustus
57,Mentan janji beri gaji  Rp10jt per bulan buat Milenial yg mau jadi petani
58,Dharma kun bilang banjir bukan musibah tapi rezeki dari Tuhan
59,Kemenkominfo: 92 persen kebisingan ruang digital diisi buzzer
60,"Sebanyak 97,2% warga Indonesia belum sikat gigi dengan benar"
61,Thailand temukan residu kimia yang bahaya di anggur Shine Muscat
62,"Mengharukan, Viral Bocah Kelas 4 SD Tak Mau Makan Siang Gratis Karena Teringat Ibunya Belum Makan: Tiap Hari Disisihkan untuk Mama"
63,"Menurut studi, cowok akan terlihat menarik kalo dirinya baik dan pintar"
64,"Riset: Wanita butuh tidur lebih lama dr pria, karna otaknya kerja lebih keras"
65,Momen saat JKT48 nyanyi jingle terbaru Scarlett “Happy and Pretty” di Pestapora
66,China Akan Bantu Buat Danai Makan Bergizi Gratis Dari Presiden Prabowo
67,SD-SMA Negeri & Swasta di Jakarta Bakal Grais Mulai Juli Tahun 2025
68,Shin Tae-Yong Akan Tinggal di Indonesia Seumur Hidup Kalau Timnas Lolos Pildun
69,Wakil Ketua DPR Jamin Tak Akan Ada Pengesahan RUU Pilkada Diam-Diam
70,"PPN RI Tahun 2025 Mau Naik Jadi 12%, Jadi Yang Paling Tinggi Se-ASEAN"
71,Mendikdasmen RI Singgung Tentang Wajib Belajar 13 Tahun & Akan aji Ulang Ujian Nasional (UN)
72,Apakah ChatGPT bisa kalahkan dokter dalam uji diagnosis penyakit?
73,"Rumah penjual kain di Bandung digrebek, ternyata markas admin ""judi online"""
74,Pemerintah masukkan coding jadi mapel pilihan mulai tahun ajaran baru
75,"KTT G20, Prabowo : daerah pesisir kami terendam laut, terpaksa pindahkan ibu kota"
76,Paspor baru Indonesia hadirkan halaman polikarbonat cegah pemalsuan
77,Terdakwa kasus timah keberatan asetnya disita kejagung untuk tutupi kerugian negara Rp 332 T
78,Anggota DPR usul siswa wajib untuk membaca 15-30 menit sebelum belajar
79,"Setelah china, Presiden AS Joe Biden nyatakan dukung program makan bergizi gratis Prabowo"
80,Ada 363 ribu orang Indonesia punya tabungan bank di atas Rp2 M
81,China akan bantu buat danai makan bergizi gratis dari Presiden Prabowo
